station,Phasenet_pick_time,EQTransformer_pick_time,Phasenet_pick_score,QTransformer_pick_score
BNN ,14:23:19.740,14:23:19.000,0.285383,0.16
BNN ,14:27:21.940,14:27:22.050,0.4289903,0.48
BNN ,14:28:19.610,14:28:19.000,0.34627724,0.75
BNN ,14:56:06.560,14:56:07.000,0.36309102,0.49
BNN ,15:10:59.770,15:10:59.000,0.49985293,0.54
BNN ,15:41:49.880,15:41:49.000,0.39759135,0.4
BNN ,15:54:39.390,15:54:39.000,0.36808795,0.73
BNN ,16:08:23.660,16:08:23.010,0.2793681,0.73
BNN ,16:11:03.050,16:11:03.000,0.4694402,0.71
BNN ,16:12:53.750,16:12:54.000,0.29859275,0.91
BNN ,16:15:09.770,16:15:10.000,0.28651032,0.82
BNN ,16:23:05.090,16:23:05.000,0.35188815,0.51
BNN ,16:54:03.280,16:54:03.280,0.5238451,0.63
BNN ,16:57:50.110,16:57:50.160,0.41738304,0.36
BNN ,16:59:44.170,16:59:44.290,0.33948144,0.26
BNN ,17:01:38.150,17:01:39.000,0.34646004,0.33
BNN ,17:14:09.480,17:14:09.000,0.4213408,0.78
BNN ,17:21:07.440,17:21:07.920,0.40408212,0.3
BNN ,17:26:42.580,17:26:42.680,0.51866,0.43
BNN ,17:37:45.070,17:37:46.000,0.49764568,0.7
BNN ,17:43:22.420,17:43:22.000,0.26893,0.73
BNN ,17:44:50.790,17:44:51.030,0.3896916,0.4
BNN ,17:57:34.800,17:57:35.000,0.41099358,0.95
BNN ,17:59:51.640,17:59:52.010,0.5074251,0.9
BNN ,18:03:01.850,18:03:02.240,0.668586,0.5
BNN ,18:04:11.680,18:04:12.000,0.39589682,0.76
BNN ,18:13:08.940,18:13:09.250,0.2912683,0.35
BNN ,18:15:37.280,18:15:37.000,0.30908522,0.73
BNN ,18:29:40.990,18:29:41.000,0.275867,0.92
BNN ,18:40:24.810,18:40:25.000,0.5384636,0.96
BNN ,19:10:48.670,19:10:48.660,0.8405316,0.52
BNN ,19:16:05.240,19:16:05.280,0.7863636,0.81
BNN ,19:20:14.810,19:20:15.000,0.31284904,0.93
BNN ,19:36:21.380,19:36:21.000,0.64811987,0.74
BNN ,19:47:10.880,19:47:11.000,0.4458552,0.95
BNN ,19:56:16.320,19:56:16.990,0.360225,0.32
BNN ,20:02:47.610,20:02:47.000,0.30664027,0.94
BNN ,20:04:50.090,20:04:50.280,0.31291378,0.79
BNN ,20:05:52.110,20:05:52.010,0.6642964,0.94
BNN ,20:14:29.210,20:14:29.000,0.8798777,0.48
BNN ,20:19:38.260,20:19:38.280,0.44369072,0.88
BNN ,20:22:12.410,20:22:12.280,0.3956641,0.62
BNN ,20:35:34.550,20:35:34.000,0.31306675,0.79
BNN ,20:38:15.520,20:38:15.640,0.855304,0.18
BNN ,20:44:19.690,20:44:20.000,0.8013213,0.62
BNN ,20:49:25.870,20:49:25.000,0.3749984,0.43
BNN ,20:56:06.820,20:56:07.000,0.35075945,0.74
BNN ,21:00:22.570,21:00:22.000,0.40986302,0.77
BNN ,21:05:30.030,21:05:30.000,0.2726547,0.9
BNN ,21:13:29.270,21:13:29.000,0.3134743,0.92
BNN ,21:15:04.280,21:15:03.990,0.40220994,0.65
BNN ,21:15:40.460,21:15:40.010,0.53884387,0.63
BNN ,21:31:36.630,21:31:37.000,0.33220342,0.64
BNN ,21:32:42.300,21:32:42.280,0.39749908,0.83
BNN ,21:35:37.590,21:35:37.000,0.30679512,0.57
BNN ,21:39:18.580,21:39:18.560,0.27598694,0.56
BNN ,21:41:43.550,21:41:43.000,0.49136132,0.73
BNN ,21:51:34.420,21:51:34.030,0.48023736,0.2
BNN ,21:57:08.460,21:57:08.000,0.37039918,0.64
BNN ,21:58:01.450,21:58:01.000,0.62775856,0.67
BNN ,22:00:18.790,22:00:19.000,0.29946753,0.86
BNN ,22:07:47.810,22:07:47.720,0.35245037,0.43
BNN ,22:19:34.080,22:19:34.010,0.40622586,0.91
BNN ,22:29:57.350,22:29:57.000,0.5433593,0.72
BNN ,22:45:12.720,22:45:13.000,0.43020415,0.92
BNN ,22:51:35.520,22:51:35.000,0.3061813,0.79
BNN ,23:00:36.230,23:00:36.340,0.27850708,0.32
BNN ,23:17:30.740,23:17:31.010,0.45411673,0.91
BNN ,23:21:30.510,23:21:30.600,0.46079278,0.51
BNN ,23:30:25.860,23:30:25.000,0.3282442,0.72
BNN ,23:41:05.770,23:41:05.000,0.27122205,0.48
BNN ,23:46:07.490,23:46:07.000,0.338551,0.95
BODT,16:18:37.070,16:18:37.100,0.9831767,0.77
BODT,16:21:41.370,16:21:41.360,0.49517235,0.7
BZK ,07:23:33.440,07:23:33.320,0.35020334,0.39
CANT,09:30:36.570,09:30:36.570,0.47459555,0.84
CANT,12:58:25.770,12:58:26.140,0.36241147,0.37
CANT,13:18:39.160,13:18:38.860,0.29192507,0.22
CANT,17:27:19.950,17:27:20.000,0.33099285,0.92
CANT,17:27:19.950,17:27:20.280,0.33099285,0.56
CEYT,01:17:54.350,01:17:54.000,0.38877133,0.84
CEYT,01:28:34.920,01:28:35.340,0.3472194,0.68
CEYT,01:36:42.940,01:36:43.000,0.3528082,0.91
CEYT,01:51:35.300,01:51:35.350,0.5579387,0.34
CEYT,01:58:37.240,01:58:37.560,0.32602727,0.43
CEYT,02:02:05.500,02:02:05.340,0.40389034,0.62
CEYT,02:11:50.240,02:11:50.000,0.42046544,0.64
CEYT,02:17:56.270,02:17:56.000,0.28263757,0.92
CEYT,02:22:35.470,02:22:35.290,0.42418748,0.2
CEYT,02:45:31.570,02:45:32.000,0.36217022,0.75
CEYT,02:58:36.120,02:58:35.740,0.42264798,0.22
CEYT,03:01:54.760,03:01:54.710,0.42169178,0.68
CEYT,03:02:17.590,03:02:18.000,0.30722728,0.48
CEYT,07:03:03.420,07:03:03.490,0.27504328,0.33
CEYT,07:03:39.040,07:03:39.010,0.28997192,0.3
CEYT,07:08:44.700,07:08:45.000,0.47852707,0.93
CEYT,07:15:51.710,07:15:51.990,0.28129077,0.87
CEYT,07:17:18.930,07:17:19.000,0.41139138,0.73
CEYT,07:17:48.750,07:17:49.000,0.37953418,0.89
CEYT,07:19:23.770,07:19:23.720,0.30457014,0.31
CEYT,08:02:02.330,08:02:02.480,0.5048926,0.32
CEYT,08:08:59.000,08:08:58.820,0.30286247,0.27
CEYT,09:01:48.640,09:01:49.310,0.37013486,0.33
CEYT,09:05:36.240,09:05:36.230,0.357506,0.85
CEYT,09:12:02.070,09:12:02.000,0.6372152,0.94
CEYT,14:15:10.570,14:15:10.550,0.43106645,0.78
CEYT,14:24:03.730,14:24:03.960,0.30768725,0.2
CEYT,14:27:57.070,14:27:57.000,0.7177256,0.96
CEYT,14:30:19.860,14:30:19.000,0.31326056,0.65
CEYT,14:38:07.600,14:38:07.640,0.47786424,0.35
CEYT,14:40:49.350,14:40:49.000,0.27079022,0.89
CEYT,14:41:48.620,14:41:48.500,0.6464853,0.61
CEYT,14:43:55.010,14:43:55.530,0.2747783,0.58
CEYT,16:13:04.080,16:13:04.000,0.27344847,0.77
CEYT,20:05:56.270,20:05:56.360,0.5579345,0.58
CEYT,20:10:41.110,20:10:41.000,0.31820217,0.94
CEYT,20:14:34.350,20:14:34.990,0.38417834,0.37
CEYT,21:02:18.420,21:02:18.340,0.5538728,0.69
CEYT,21:10:36.590,21:10:36.660,0.48274827,0.63
CEYT,21:31:34.560,21:31:34.300,0.45928046,0.48
CEYT,21:34:58.480,21:34:59.000,0.4181652,0.7
CEYT,22:04:21.990,22:04:22.000,0.29817832,0.92
CEYT,22:05:04.780,22:05:04.820,0.2689559,0.14
CEYT,22:16:05.090,22:16:05.000,0.27398434,0.89
CEYT,22:22:54.200,22:22:54.000,0.47072226,0.93
CEYT,22:26:48.030,22:26:49.000,0.45267752,0.69
CEYT,22:30:03.930,22:30:04.000,0.3292185,0.85
CEYT,22:33:07.120,22:33:07.170,0.42732722,0.76
CEYT,22:55:49.880,22:55:50.000,0.32665986,0.95
CEYT,23:17:21.790,23:17:22.010,0.31495973,0.68
CEYT,23:21:37.990,23:21:37.760,0.35908693,0.27
CHOM,03:19:18.290,03:19:17.820,0.43413585,0.25
CHOM,04:29:20.500,04:29:21.000,0.48818737,0.66
CHOM,11:46:51.270,11:46:51.000,0.91760993,0.68
CHOM,13:00:07.540,13:00:07.650,0.35894102,0.62
CHOM,14:09:06.900,14:09:07.000,0.32666302,0.87
CHOM,15:11:36.380,15:11:36.110,0.2965794,0.38
CHOM,15:34:28.410,15:34:28.990,0.2698082,0.77
CHOM,16:56:38.910,16:56:38.630,0.27173328,0.22
CHOM,17:27:33.760,17:27:34.000,0.3617185,0.83
CHOM,19:51:55.360,19:51:55.000,0.2781915,0.88
CHOM,20:12:49.710,20:12:50.000,0.4057536,0.74
