station,Phasenet-EQCCT_Average_pick_time,EQTransformer_pick_time,EQTransformer_pick_score,Phasenet_score,EQCCT_score
KMRS,09:16:23.480,09:16:23.455,0.77,0.49470314,0.788
KMRS,09:16:23.480,09:16:23.455,0.77,0.49470314,0.833
KMRS,09:17:11.430,09:17:11.390,0.8,0.86780065,0.772
KMRS,09:17:11.430,09:17:11.390,0.8,0.86780065,0.813
KMRS,09:17:11.430,09:17:11.395,0.8,0.86780065,0.789
KMRS,09:17:11.430,09:17:11.395,0.8,0.86780065,0.799
KMRS,09:19:55.880,09:19:55.915,0.51,0.3975745,0.435
KMRS,09:20:23.010,09:20:22.960,0.6,0.48616987,0.618
KMRS,09:20:23.010,09:20:22.970,0.6,0.48616987,0.731
KMRS,09:20:23.010,09:20:22.975,0.6,0.48616987,0.413
KMRS,09:23:58.010,09:23:57.975,0.93,0.6045623,0.944
KMRS,09:23:58.010,09:23:57.995,0.93,0.6045623,0.738
KMRS,09:23:58.010,09:23:58.010,0.93,0.6045623,0.711
KMRS,09:23:58.010,09:23:58.020,0.93,0.6045623,0.371
KMRS,09:25:40.310,09:25:40.125,0.85,0.77346784,0.667
KMRS,09:25:40.310,09:25:40.170,0.85,0.77346784,0.554
KMRS,09:25:40.310,09:25:40.180,0.85,0.77346784,0.543
KMRS,09:25:40.310,09:25:40.335,0.85,0.77346784,0.329
KMRS,09:27:33.570,09:27:33.600,0.67,0.48437616,0.155
KMRS,09:27:42.910,09:27:42.920,0.8,0.46385944,0.18
KMRS,09:27:42.910,09:27:42.930,0.8,0.46385944,0.232
KMRS,09:27:42.910,09:27:42.930,0.8,0.46385944,0.711
KMRS,09:27:42.910,09:27:42.930,0.8,0.46385944,0.701
KMRS,09:30:22.380,09:30:22.405,0.51,0.96774733,0.593
KMRS,09:30:22.380,09:30:22.420,0.51,0.96774733,0.82
KMRS,09:30:22.380,09:30:22.420,0.51,0.96774733,0.831
KMRS,09:30:22.380,09:30:22.425,0.51,0.96774733,0.835
KMRS,09:35:34.330,09:35:34.280,0.54,0.93591344,0.769
KMRS,09:35:34.330,09:35:34.285,0.54,0.93591344,0.762
KMRS,09:35:34.330,09:35:34.285,0.54,0.93591344,0.79
KMRS,09:36:21.290,09:36:21.520,0.23,0.7671766,0.514
KMRS,09:36:21.290,09:36:21.560,0.23,0.7671766,0.652
KMRS,09:36:21.290,09:36:21.565,0.23,0.7671766,0.569
