station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
DARE,09:44:10.040,09:44:10.000,0.59800994,0.965
DARE,09:44:10.040,09:44:10.030,0.59800994,0.584
DARE,09:44:10.040,09:44:10.080,0.59800994,0.105
DARE,09:54:36.380,09:54:36.350,0.53987,0.343
DARE,09:54:36.380,09:54:36.440,0.53987,0.462
DARE,09:57:36.100,09:57:36.010,0.41185948,0.615
DARE,09:57:36.100,09:57:36.170,0.41185948,0.655
DARE,09:57:36.100,09:57:36.170,0.41185948,0.453
DKL ,14:01:02.700,14:01:02.750,0.2807775,0.593
DKL ,14:01:02.700,14:01:02.780,0.2807775,0.146
DKL ,14:01:02.700,14:01:02.790,0.2807775,0.521
DYBB,09:15:06.370,09:15:06.360,0.37058333,0.505
DYBB,09:15:06.370,09:15:06.380,0.37058333,0.651
DYBB,09:15:06.370,09:15:06.390,0.37058333,0.593
ERZN,09:20:59.440,09:20:59.440,0.99515754,0.911
ERZN,09:20:59.440,09:20:59.440,0.99515754,0.914
ERZN,09:20:59.440,09:20:59.450,0.99515754,0.908
ERZN,09:20:59.440,09:20:59.460,0.99515754,0.915
ERZN,09:20:59.440,09:21:00.110,0.99515754,0.228
ERZN,09:48:57.500,09:48:57.010,0.85751283,0.694
ERZN,09:48:57.500,09:48:57.530,0.85751283,0.654
ERZN,09:48:57.500,09:48:57.530,0.85751283,0.663
ERZN,09:48:57.500,09:48:57.530,0.85751283,0.52
FETY,09:37:49.600,09:37:49.510,0.5217285,0.546
FETY,09:37:49.600,09:37:49.510,0.5217285,0.494
FETY,09:37:49.600,09:37:49.510,0.5217285,0.308
FETY,09:37:49.600,09:37:49.520,0.5217285,0.474
FETY,09:37:49.600,09:37:49.590,0.5217285,0.211
GAZ ,09:00:10.330,09:00:10.430,0.3070713,0.725
GAZ ,09:01:51.250,09:01:51.140,0.35527924,0.409
GAZ ,09:01:51.250,09:01:51.140,0.35527924,0.381
GAZ ,09:01:51.250,09:01:51.300,0.35527924,0.409
GAZ ,09:01:51.250,09:01:51.330,0.35527924,0.288
GAZ ,09:01:51.250,09:01:52.000,0.35527924,0.617
GAZ ,09:03:37.140,09:03:37.150,0.466205,0.521
GAZ ,09:03:37.140,09:03:37.160,0.466205,0.55
