station,EQCCT_pick_time,Kandilli_pick_time,EQCCT_pick_score
SARI,09:21:29.000,09:21:29.000,0.495
SARI,09:34:42.010,09:34:41.300,0.55
SARI,09:36:38.840,09:36:38.900,0.651
SARI,09:36:38.840,09:36:38.900,0.815
SARI,09:36:38.840,09:36:38.900,0.758
SARI,09:36:38.970,09:36:38.900,0.641
SARI,09:44:24.780,09:44:24.300,0.168
SARI,09:44:24.810,09:44:24.300,0.166
SARI,09:44:24.810,09:44:24.300,0.394
SARI,09:57:45.000,09:57:44.900,0.466
SARI,09:58:54.000,09:58:53.700,0.551
SARI,09:58:54.130,09:58:53.700,0.2
SAUV,09:53:16.000,09:53:15.400,0.557
SAUV,09:53:16.130,09:53:15.400,0.744
SAUV,09:53:16.130,09:53:15.400,0.721
SAUV,09:53:16.140,09:53:15.400,0.756
SENK,09:49:30.000,09:49:29.900,0.215
SILT,08:32:20.000,08:32:20.300,0.764
SILT,08:32:20.130,08:32:20.300,0.377
SILT,08:32:20.130,08:32:20.300,0.388
SNOP,01:18:52.000,01:18:51.500,0.762
SVSK,01:50:46.000,01:50:46.400,0.702
SVSK,01:50:46.730,01:50:46.400,0.125
SVSK,01:50:46.730,01:50:46.400,0.175
TAHT,05:06:47.040,05:06:47.100,0.129
TOKT,01:50:53.980,01:50:53.600,0.124
URFA,14:03:31.000,14:03:30.300,0.884
URFA,14:03:31.040,14:03:30.300,0.279
URFA,14:03:31.040,14:03:30.300,0.353
URFA,14:10:35.840,14:10:34.900,0.391
URFA,14:10:35.860,14:10:34.900,0.464
URFA,14:23:02.260,14:23:02.400,0.324
URFA,14:23:02.260,14:23:02.400,0.632
URFA,14:23:02.290,14:23:02.400,0.66
URFA,14:27:34.880,14:27:34.500,0.27
URFA,14:27:34.880,14:27:34.500,0.287
URFA,14:27:34.910,14:27:34.500,0.237
URFA,14:30:33.000,14:30:33.600,0.199
URFA,14:33:26.340,14:33:26.200,0.212
URFA,14:33:26.640,14:33:26.200,0.308
URFA,14:38:50.780,14:38:50.700,0.453
URFA,14:42:19.000,14:42:18.000,0.715
URFA,14:51:30.000,14:51:29.500,0.829
URFA,14:51:30.400,14:51:29.500,0.209
URFA,14:51:30.410,14:51:29.500,0.388
URFA,14:51:30.410,14:51:29.500,0.596
URFA,14:51:30.410,14:51:29.500,0.394
URFA,14:58:08.000,14:58:07.600,0.724
URFA,14:58:08.530,14:58:07.600,0.528
URFA,14:58:08.530,14:58:07.600,0.615
URFA,14:58:08.530,14:58:07.600,0.443
VRTB,01:48:01.050,01:48:01.300,0.382
VRTB,01:48:01.140,01:48:01.300,0.36
VRTB,01:48:01.240,01:48:01.300,0.593
YAYX,14:45:28.660,14:45:27.900,0.591
YAYX,14:45:28.670,14:45:27.900,0.582
YAYX,14:45:28.670,14:45:27.900,0.597
YAYX,14:45:28.670,14:45:27.900,0.56
YESY,14:46:48.040,14:46:47.200,0.169
