station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
KMRS,22:26:30.900,22:26:30.945,0.54140425,0.77
KMRS,22:37:54.400,22:37:54.565,0.33164796,0.71
KMRS,22:41:22.600,22:41:22.905,0.8307377,0.81
KMRS,22:45:06.600,22:45:06.795,0.9067811,0.79
KMRS,22:51:29.700,22:51:29.875,0.9375245,0.59
KMRS,22:55:36.200,22:55:36.420,0.84482265,0.48
KMRS,22:57:56.700,22:57:56.945,0.8644359,0.36
KMRS,23:05:39.200,23:05:39.380,0.4614528,0.77
KMRS,23:08:23.100,23:08:23.175,0.27216902,0.8
KMRS,23:11:51.300,23:11:50.695,0.71697736,0.63
KMRS,23:13:00.000,23:13:00.165,0.86547804,0.45
KMRS,23:13:41.800,23:13:41.650,0.34284025,0.47
KMRS,23:14:50.500,23:14:50.045,0.80695385,0.66
KMRS,23:17:24.300,23:17:24.210,0.5525907,0.55
KMRS,23:20:23.300,23:20:24.225,0.64099866,0.77
KMRS,23:31:37.300,23:31:37.615,0.58960104,0.54
KMRS,23:54:27.900,23:54:28.240,0.45177123,0.67
KOZT,01:36:43.800,01:36:43.070,0.28423283,0.81
KOZT,02:02:03.300,02:02:03.590,0.37404197,0.66
KOZT,02:17:55.400,02:17:56.080,0.32646653,0.35
KOZT,02:31:40.800,02:31:41.095,0.41808286,0.88
KOZT,02:31:40.900,02:31:41.095,0.41808286,0.88
KOZT,02:55:27.600,02:55:26.780,0.30543664,0.34
KOZT,03:12:35.200,03:12:34.960,0.30023053,0.92
KOZT,03:38:32.200,03:38:32.130,0.4519553,0.7
KOZT,03:57:08.100,03:57:07.235,0.31267247,0.36
KOZT,04:03:49.500,04:03:49.105,0.30204558,0.94
KOZT,04:17:10.500,04:17:10.810,0.6012848,0.82
KOZT,04:19:24.200,04:19:23.490,0.3182835,0.35
KOZT,04:25:07.400,04:25:06.860,0.36959666,0.9
KOZT,04:45:08.400,04:45:08.260,0.3290557,0.16
KOZT,04:48:15.100,04:48:14.860,0.42865455,0.92
KOZT,05:08:52.800,05:08:52.775,0.6462246,0.69
KOZT,05:13:11.900,05:13:12.860,0.39065278,0.83
KOZT,05:22:05.600,05:22:05.020,0.300671,0.91
KOZT,05:25:37.400,05:25:36.675,0.27989578,0.8
KOZT,05:30:20.000,05:30:19.450,0.38810396,0.62
KOZT,05:36:55.400,05:36:55.245,0.29962882,0.78
KOZT,06:09:22.400,06:09:22.255,0.44722337,0.7
KOZT,06:55:21.500,06:55:21.265,0.6988887,0.92
KOZT,06:59:26.200,06:59:25.710,0.2719971,0.75
KOZT,08:06:51.700,08:06:51.135,0.2880911,0.5
KOZT,08:08:57.500,08:08:57.120,0.46146,0.84
KOZT,08:26:07.900,08:26:07.755,0.4602591,0.63
KOZT,08:48:30.000,08:48:29.920,0.59158325,0.82
KOZT,08:52:56.800,08:52:56.850,0.63803804,0.21
KOZT,09:05:34.800,09:05:34.115,0.42814675,0.68
KOZT,09:10:35.800,09:10:35.740,0.3082452,0.78
KOZT,09:11:59.400,09:11:59.700,0.8182734,0.52
KOZT,09:23:59.300,09:23:59.135,0.6019619,0.71
KOZT,09:34:37.700,09:34:37.090,0.42258987,0.95
KOZT,09:36:32.000,09:36:32.360,0.731341,0.42
KOZT,09:58:43.400,09:58:42.600,0.28122014,0.66
KOZT,10:15:17.600,10:15:18.210,0.40975404,0.35
KOZT,10:16:38.100,10:16:38.250,0.30740276,0.53
KOZT,12:19:37.100,12:19:36.180,0.28827065,0.82
KOZT,12:21:34.200,12:21:33.320,0.28805262,0.36
KOZT,12:28:06.200,12:28:05.880,0.38364983,0.3
KOZT,12:45:36.400,12:45:35.590,0.2908559,0.23
KOZT,13:12:13.000,13:12:12.725,0.28373608,0.35
KOZT,13:17:59.700,13:17:59.230,0.59774625,0.2
KOZT,13:45:16.400,13:45:16.765,0.5357833,0.88
KOZT,14:05:03.300,14:05:03.045,0.43465006,0.84
KOZT,14:10:36.800,14:10:37.015,0.35040727,0.91
KOZT,14:15:07.600,14:15:07.260,0.5889464,0.64
KOZT,15:08:35.100,15:08:34.875,0.34017473,0.82
KOZT,15:10:58.600,15:10:58.010,0.36355793,0.93
KOZT,15:48:18.300,15:48:18.180,0.535799,0.29
KOZT,16:07:05.000,16:07:04.530,0.26854393,0.19
KOZT,16:13:14.400,16:13:13.890,0.43949133,0.82
KOZT,16:25:14.500,16:25:15.030,0.35297045,0.92
KOZT,16:43:42.300,16:43:42.310,0.28864244,0.55
KOZT,16:46:52.700,16:46:52.895,0.27186155,0.72
