station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
KMRS,15:56:33.270,15:56:33.300,0.9628136
KMRS,15:59:39.190,15:59:39.600,0.36887544
KMRS,16:43:40.190,16:43:40.100,0.71875817
KMRS,17:24:48.920,17:24:48.700,0.9070966
KMRS,17:28:54.350,17:28:53.900,0.4584339
KMRS,17:39:35.180,17:39:35.400,0.46350345
KMRS,17:40:50.560,17:40:50.800,0.2801946
KMRS,19:40:37.550,19:40:37.500,0.34081957
KMRS,20:37:56.880,20:37:56.700,0.44643074
KMRS,20:41:38.980,20:41:39.100,0.8031983
KMRS,20:44:10.970,20:44:10.900,0.95067143
KMRS,21:03:17.300,21:03:17.100,0.7900489
KMRS,21:13:02.310,21:13:02.500,0.9477475
KMRS,21:13:49.470,21:13:49.500,0.9753394
KMRS,22:14:14.200,22:14:14.800,0.7169575
KMRS,22:26:30.900,22:26:30.900,0.54140425
KMRS,22:37:54.130,22:37:54.400,0.33164796
KMRS,22:41:22.810,22:41:22.600,0.8307377
KMRS,22:45:06.590,22:45:06.600,0.9067811
KMRS,22:51:29.750,22:51:29.700,0.9375245
KMRS,22:55:36.340,22:55:36.200,0.84482265
KMRS,22:57:56.830,22:57:56.700,0.8644359
KMRS,23:05:39.380,23:05:39.200,0.4614528
KMRS,23:08:23.350,23:08:23.100,0.27216902
KMRS,23:11:50.630,23:11:51.300,0.71697736
KMRS,23:13:00.150,23:13:00.000,0.86547804
KMRS,23:13:41.620,23:13:41.800,0.34284025
KMRS,23:14:50.040,23:14:50.500,0.80695385
KMRS,23:17:24.170,23:17:24.300,0.5525907
KMRS,23:31:37.700,23:31:37.300,0.58960104
KMRS,23:54:28.210,23:54:27.900,0.45177123
KOZT,01:36:43.140,01:36:43.800,0.28423283
KOZT,02:02:03.540,02:02:03.300,0.37404197
KOZT,02:17:56.000,02:17:55.400,0.32646653
KOZT,02:31:41.190,02:31:40.800,0.41808286
KOZT,02:31:41.190,02:31:40.900,0.41808286
KOZT,02:55:26.810,02:55:27.600,0.30543664
KOZT,03:12:34.920,03:12:35.200,0.30023053
KOZT,03:18:49.440,03:18:48.900,0.37164006
KOZT,03:33:07.410,03:33:08.300,0.4217944
KOZT,03:38:31.990,03:38:32.200,0.4519553
KOZT,03:57:07.210,03:57:08.100,0.31267247
KOZT,04:03:49.210,04:03:49.500,0.30204558
KOZT,04:17:10.620,04:17:10.500,0.6012848
KOZT,04:19:23.710,04:19:24.200,0.3182835
KOZT,04:25:06.720,04:25:07.400,0.36959666
KOZT,04:45:07.980,04:45:08.400,0.3290557
KOZT,04:48:14.720,04:48:15.100,0.42865455
KOZT,05:08:52.750,05:08:52.800,0.6462246
KOZT,05:13:12.720,05:13:11.900,0.39065278
KOZT,05:22:05.040,05:22:05.600,0.300671
KOZT,05:30:19.900,05:30:20.000,0.38810396
KOZT,05:36:55.120,05:36:55.400,0.29962882
KOZT,06:09:22.500,06:09:22.400,0.44722337
KOZT,06:55:21.530,06:55:21.500,0.6988887
KOZT,06:59:25.420,06:59:26.200,0.2719971
KOZT,08:06:51.270,08:06:51.700,0.2880911
KOZT,08:08:57.240,08:08:57.500,0.46146
KOZT,08:26:07.770,08:26:07.900,0.4602591
KOZT,08:48:29.890,08:48:30.000,0.59158325
KOZT,08:52:56.950,08:52:56.800,0.63803804
KOZT,09:01:54.280,09:01:54.400,0.3361555
KOZT,09:05:34.220,09:05:34.800,0.42814675
KOZT,09:08:35.530,09:08:35.400,0.32583654
KOZT,09:10:35.480,09:10:35.800,0.3082452
KOZT,09:11:59.400,09:11:59.400,0.8182734
KOZT,09:23:59.270,09:23:59.300,0.6019619
KOZT,09:34:37.180,09:34:37.700,0.42258987
KOZT,09:36:32.410,09:36:32.000,0.731341
KOZT,10:15:18.420,10:15:17.600,0.40975404
KOZT,10:16:38.500,10:16:38.100,0.30740276
KOZT,11:35:53.000,11:35:54.000,0.41089743
KOZT,12:19:36.360,12:19:37.100,0.28827065
KOZT,12:21:33.360,12:21:34.200,0.28805262
KOZT,12:28:05.940,12:28:06.200,0.38364983
KOZT,13:12:12.460,13:12:13.000,0.28373608
KOZT,13:17:59.630,13:17:59.700,0.59774625
KOZT,13:45:16.530,13:45:16.400,0.5357833
KOZT,14:05:03.090,14:05:03.300,0.43465006
KOZT,14:10:37.030,14:10:36.800,0.35040727
KOZT,14:15:07.520,14:15:07.600,0.5889464
KOZT,14:25:10.650,14:25:10.400,0.3732497
KOZT,15:08:34.910,15:08:35.100,0.34017473
KOZT,15:10:58.010,15:10:58.600,0.36355793
KOZT,15:48:18.080,15:48:18.300,0.535799
KOZT,16:07:04.760,16:07:05.000,0.26854393
KOZT,16:13:13.770,16:13:14.400,0.43949133
KOZT,16:15:23.620,16:15:23.500,0.34130213
KOZT,16:25:15.060,16:25:14.500,0.35297045
KOZT,16:43:42.620,16:43:42.300,0.28864244
KOZT,16:46:52.790,16:46:52.700,0.27186155
KOZT,16:59:40.860,16:59:41.500,0.64713544
KOZT,17:15:59.090,17:15:59.800,0.28052163
KOZT,17:25:01.320,17:25:01.200,0.36455488
KOZT,17:31:48.830,17:31:49.300,0.6642637
KOZT,17:37:41.460,17:37:41.900,0.43581992
KOZT,17:44:49.680,17:44:50.000,0.29097354
KOZT,18:03:02.320,18:03:03.100,0.58068043
KOZT,18:24:06.410,18:24:06.300,0.3272015
KOZT,18:31:39.200,18:31:39.600,0.43561375
