,file_name,begin_time,phase_time,phase_score,phase_type,station_id
149,DKL _20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:47:17.070000Z,0.336,S,DKL 
150,GEDZ_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:12:14.670000Z,0.253,P,GEDZ
151,GEDZ_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:12:21.330000Z,0.127,S,GEDZ
152,GULA_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:18:28.000000Z,0.903,P,GULA
153,GULA_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:41:14.410000Z,0.764,S,GULA
154,HDMB_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:33:04.000000Z,0.93,P,HDMB
155,HDMB_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:33:44.700000Z,0.719,S,HDMB
156,KIZT_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:03:54.000000Z,0.432,P,KIZT
157,KIZT_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:57:10.710000Z,0.234,S,KIZT
158,KULU_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:27:28.010000Z,0.618,P,KULU
159,KULU_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:27:38.800000Z,0.453,S,KULU
160,LMOS_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:31:44.000000Z,0.936,P,LMOS
161,LMOS_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:39:39.260000Z,0.714,S,LMOS
162,SDAG_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:09:45.710000Z,0.87,P,SDAG
163,SDAG_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:09:49.000000Z,0.787,S,SDAG
164,SERH_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:22:49.140000Z,0.827,P,SERH
165,SERH_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:22:54.000000Z,0.457,S,SERH
166,UVEZ_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:44:52.000000Z,0.565,P,UVEZ
167,UVEZ_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:45:10.690000Z,0.302,S,UVEZ
168,YESY_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:10:29.270000Z,0.846,P,YESY
169,YESY_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:14:57.770000Z,0.559,S,YESY
170,MRMT_20230206_1800,2023-02-06T18:00:00.000000Z,2023-02-06T18:01:42.000000Z,0.313,P,MRMT
171,MRMT_20230206_1800,2023-02-06T18:00:00.000000Z,2023-02-06T18:44:01.270000Z,0.591,S,MRMT
172,AGRB_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:16:46.000000Z,0.922,P,AGRB
173,AGRB_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:20:19.060000Z,0.392,S,AGRB
174,AKDM_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:41:16.000000Z,0.913,P,AKDM
175,AKDM_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:56:05.950000Z,0.496,S,AKDM
176,ANTB_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:28:56.190000Z,0.42,P,ANTB
177,ANTB_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:29:02.610000Z,0.385,S,ANTB
178,APMY_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:34:43.060000Z,0.806,P,APMY
179,APMY_20230206_1900,2023-02-06T19:00:00.000000Z,2023-02-06T19:34:49.060000Z,0.601,S,APMY
