,file_name,begin_time,phase_time,phase_score,phase_type,station_id
129,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:08.010000Z,0.292,P,DKL 
130,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:18.010000Z,0.468,P,DKL 
131,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:28.000000Z,0.418,P,DKL 
133,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:00:14.270000Z,0.365,S,DKL 
134,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:21.600000Z,0.116,S,DKL 
135,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:21.630000Z,0.14,S,DKL 
135,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:32.000000Z,0.503,P,EDC 
136,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:41.070000Z,0.123,P,EDC 
137,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:25:45.460000Z,0.219,P,EDC 
138,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:56.010000Z,0.173,P,EDC 
139,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:06.010000Z,0.311,P,EDC 
140,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:59.190000Z,0.123,P,EDC 
141,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:59.190000Z,0.636,P,EDC 
142,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:59.150000Z,0.625,P,EDC 
143,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:59.180000Z,0.574,P,EDC 
144,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:01.860000Z,0.72,P,EDC 
145,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:01.860000Z,0.697,P,EDC 
146,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:01.860000Z,0.703,P,EDC 
147,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:02.010000Z,0.179,P,EDC 
149,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:42.530000Z,0.115,S,EDC 
150,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:18.530000Z,0.111,S,EDC 
151,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:31.690000Z,0.172,S,EDC 
