station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
KOZT,04:25:22.500,04:25:22.600,0.56973517
KOZT,04:32:00.970,04:32:00.800,0.30871457
KOZT,04:37:55.430,04:37:55.300,0.35090834
KOZT,04:43:26.970,04:43:27.000,0.55886495
KOZT,04:50:52.770,04:50:52.900,0.40987295
KOZT,05:05:06.470,05:05:05.700,0.78380966
KOZT,05:09:05.010,05:09:05.100,0.50513566
KOZT,05:12:36.620,05:12:36.200,0.29548746
KOZT,05:13:25.800,05:13:26.600,0.70808995
KOZT,05:22:21.110,05:22:20.700,0.82479966
KOZT,05:26:11.350,05:26:11.300,0.70196044
KOZT,05:37:12.560,05:37:13.100,0.4147504
KOZT,05:48:25.030,05:48:25.000,0.7468535
KOZT,06:04:34.570,06:04:35.300,0.5755132
KOZT,06:09:34.600,06:09:35.500,0.4824878
KOZT,06:11:23.590,06:11:24.300,0.59579873
KOZT,06:13:43.700,06:13:44.100,0.47735268
KOZT,06:27:01.690,06:27:00.700,0.7721257
KOZT,06:33:54.230,06:33:53.400,0.52807784
KOZT,06:52:23.330,06:52:23.600,0.5524664
KOZT,06:59:40.380,06:59:41.100,0.68534076
KOZT,08:07:07.200,08:07:07.000,0.40270153
KOZT,08:09:11.380,08:09:10.700,0.6811577
KOZT,08:17:13.370,08:17:13.800,0.5492412
KOZT,08:18:19.240,08:18:19.400,0.746182
KOZT,08:23:31.260,08:23:30.300,0.62928516
KOZT,08:26:21.010,08:26:20.500,0.7005116
KOZT,08:42:31.880,08:42:31.300,0.5394097
KOZT,08:46:08.300,08:46:08.200,0.61637557
KOZT,08:53:13.050,08:53:12.600,0.5916628
KOZT,09:03:55.620,09:03:55.900,0.45835492
KOZT,09:05:46.430,09:05:47.200,0.6247055
KOZT,09:06:25.520,09:06:24.900,0.7232145
KOZT,09:10:48.330,09:10:48.100,0.50242144
KOZT,09:12:11.850,09:12:11.800,0.37328884
KOZT,09:34:50.110,09:34:50.900,0.37270766
KOZT,09:36:44.520,09:36:43.700,0.5430729
KOZT,09:57:50.960,09:57:51.000,0.6731775
KOZT,10:09:43.730,10:09:43.800,0.63498694
KOZT,10:15:33.830,10:15:33.200,0.38704944
KOZT,10:16:52.370,10:16:51.700,0.70443827
KOZT,11:16:56.010,11:16:55.600,0.27342165
KOZT,11:17:08.050,11:17:07.700,0.38700625
KOZT,11:56:26.510,11:56:25.700,0.4038236
KOZT,12:02:39.450,12:02:39.200,0.49854547
KOZT,12:07:59.170,12:07:58.600,0.50289744
KOZT,12:21:44.980,12:21:45.800,0.43305138
KOZT,12:37:12.120,12:37:12.600,0.6520328
KOZT,13:45:37.040,13:45:37.000,0.4655646
KOZT,13:59:19.410,13:59:19.400,0.68764323
KOZT,14:30:21.770,14:30:22.700,0.5219362
KOZT,15:01:52.230,15:01:52.200,0.51983446
KOZT,15:04:10.250,15:04:10.000,0.4178905
KOZT,15:08:54.670,15:08:55.600,0.41951853
KOZT,15:08:55.850,15:08:55.600,0.3087354
KOZT,15:11:11.560,15:11:11.200,0.70952046
KOZT,15:15:23.320,15:15:23.100,0.6078857
KOZT,15:22:03.790,15:22:02.800,0.3006246
KOZT,15:44:36.550,15:44:35.900,0.3610034
KOZT,15:50:21.860,15:50:22.200,0.5373064
KOZT,15:54:38.230,15:54:38.500,0.5401904
KOZT,16:02:57.880,16:02:57.800,0.79372907
KOZT,16:07:21.790,16:07:22.000,0.5189299
KOZT,16:13:26.700,16:13:27.600,0.573821
KOZT,16:22:12.850,16:22:13.300,0.4804051
KOZT,16:23:12.120,16:23:12.000,0.602288
KOZT,16:28:37.710,16:28:37.200,0.5575595
KOZT,16:43:54.130,16:43:53.300,0.57735217
KOZT,16:56:18.730,16:56:18.500,0.54001486
KOZT,16:59:53.730,16:59:53.200,0.7354088
KOZT,17:16:44.200,17:16:44.000,0.5223273
KOZT,17:55:04.860,17:55:05.600,0.6119553
