station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
KMRS,11:01:24.200,11:01:23.760,0.35189414,0.32
KMRS,11:03:04.100,11:03:04.430,0.5173614,0.56
KMRS,12:16:38.300,12:16:38.655,0.62860054,0.34
KMRS,13:22:22.000,13:22:22.015,0.91211706,0.71
KMRS,13:22:22.000,13:22:22.060,0.91211706,0.22
KMRS,13:46:45.800,13:46:45.500,0.81696355,0.52
KMRS,13:46:45.800,13:46:45.600,0.81696355,0.42
KMRS,15:40:16.200,15:40:16.190,0.8167054,0.66
KMRS,15:51:51.900,15:51:51.645,0.8008486,0.54
KMRS,15:54:13.300,15:54:13.115,0.90358436,0.72
KMRS,16:43:48.900,16:43:49.125,0.6934165,0.34
KMRS,17:09:01.600,17:09:01.540,0.8363827,0.65
KMRS,17:09:01.600,17:09:01.540,0.8363827,0.74
KMRS,17:24:51.100,17:24:51.130,0.9472813,0.76
KMRS,17:28:57.500,17:28:57.505,0.41600716,0.6
KMRS,17:39:47.300,17:39:47.075,0.8314114,0.47
KMRS,17:39:47.300,17:39:47.115,0.8314114,0.34
KMRS,20:41:45.900,20:41:45.660,0.6411081,0.37
KMRS,21:03:19.600,21:03:19.745,0.8388144,0.41
KMRS,21:13:05.900,21:13:05.990,0.64661956,0.32
KMRS,21:13:51.700,21:13:52.015,0.8819324,0.41
KMRS,21:25:36.300,21:25:36.050,0.9263682,0.76
KMRS,22:14:23.100,22:14:22.600,0.78357327,0.52
KMRS,22:26:40.400,22:26:40.475,0.6777475,0.54
KMRS,22:38:05.900,22:38:05.150,0.61493087,0.42
KMRS,22:45:15.100,22:45:15.230,0.92812806,0.64
KMRS,22:51:38.600,22:51:38.325,0.77257025,0.55
KMRS,22:55:43.100,22:55:42.930,0.8478811,0.53
KMRS,22:57:59.400,22:57:59.485,0.9191325,0.57
KMRS,23:13:02.700,23:13:02.770,0.8882458,0.69
KMRS,23:13:50.700,23:13:51.070,0.62539506,0.59
KMRS,23:14:56.200,23:14:56.080,0.804118,0.48
KMRS,23:30:27.500,23:30:28.265,0.85350615,0.66
KMRS,23:31:41.600,23:31:41.560,0.71013284,0.43
KMRS,23:54:36.600,23:54:36.360,0.86945,0.62
KOZT,02:19:28.400,02:19:28.290,0.57041425,0.41
KOZT,02:19:28.400,02:19:28.320,0.57041425,0.41
KOZT,02:23:47.000,02:23:46.960,0.71377575,0.35
KOZT,02:23:47.000,02:23:46.975,0.71377575,0.51
KOZT,02:37:25.200,02:37:25.185,0.42602438,0.4
KOZT,02:38:42.800,02:38:43.260,0.36003625,0.29
KOZT,02:44:18.500,02:44:17.805,0.5051521,0.16
KOZT,02:55:41.900,02:55:42.295,0.7348272,0.4
KOZT,03:03:37.700,03:03:36.835,0.59592277,0.46
KOZT,03:03:37.700,03:03:36.845,0.59592277,0.36
KOZT,03:12:50.900,03:12:50.455,0.7464682,0.27
KOZT,03:30:37.700,03:30:37.300,0.70214057,0.39
KOZT,03:33:21.400,03:33:20.610,0.77317905,0.49
KOZT,03:42:03.400,03:42:02.490,0.62498236,0.22
KOZT,03:42:03.400,03:42:02.575,0.62498236,0.25
KOZT,03:57:19.700,03:57:19.415,0.5666489,0.33
KOZT,03:58:54.200,03:58:54.145,0.48174238,0.12
KOZT,03:58:54.200,03:58:54.160,0.48174238,0.14
KOZT,04:11:23.200,04:11:23.695,0.5573864,0.24
KOZT,04:14:15.500,04:14:16.195,0.5780804,0.29
KOZT,04:14:15.500,04:14:16.230,0.5780804,0.47
KOZT,04:17:26.200,04:17:26.945,0.5785961,0.18
KOZT,04:25:22.600,04:25:22.665,0.56973517,0.4
KOZT,04:25:22.600,04:25:22.755,0.56973517,0.43
KOZT,04:32:00.800,04:32:01.270,0.30871457,0.56
KOZT,04:37:55.300,04:37:55.365,0.35090834,0.37
KOZT,04:43:27.000,04:43:26.885,0.55886495,0.39
KOZT,04:50:52.900,04:50:52.875,0.40987295,0.22
KOZT,05:05:05.700,05:05:06.520,0.78380966,0.36
KOZT,05:13:26.600,05:13:25.730,0.70808995,0.23
KOZT,05:22:20.700,05:22:21.060,0.82479966,0.43
KOZT,05:26:11.300,05:26:11.240,0.70196044,0.12
KOZT,05:48:25.000,05:48:25.020,0.7468535,0.57
KOZT,06:09:35.500,06:09:34.830,0.4824878,0.16
KOZT,06:11:24.300,06:11:23.565,0.59579873,0.21
KOZT,06:13:44.100,06:13:43.900,0.47735268,0.2
KOZT,06:33:53.400,06:33:54.270,0.52807784,0.31
KOZT,06:52:23.600,06:52:23.610,0.5524664,0.4
KOZT,06:59:41.100,06:59:40.505,0.68534076,0.26
KOZT,08:07:07.000,08:07:07.090,0.40270153,0.2
KOZT,08:07:07.000,08:07:07.120,0.40270153,0.33
KOZT,08:09:10.700,08:09:11.420,0.6811577,0.29
KOZT,08:09:10.700,08:09:11.430,0.6811577,0.27
KOZT,08:17:13.800,08:17:13.590,0.5492412,0.38
KOZT,08:18:19.400,08:18:19.290,0.746182,0.38
KOZT,08:42:31.300,08:42:31.915,0.5394097,0.3
KOZT,08:46:08.200,08:46:08.720,0.61637557,0.11
KOZT,08:53:12.600,08:53:13.110,0.5916628,0.49
KOZT,09:05:47.200,09:05:46.395,0.6247055,0.24
KOZT,09:06:24.900,09:06:25.620,0.7232145,0.1
KOZT,09:10:48.100,09:10:48.360,0.50242144,0.36
KOZT,09:10:48.100,09:10:48.430,0.50242144,0.41
KOZT,09:12:11.800,09:12:11.980,0.37328884,0.19
KOZT,09:34:50.900,09:34:50.130,0.37270766,0.25
KOZT,09:36:43.700,09:36:44.515,0.5430729,0.21
KOZT,10:16:51.700,10:16:52.335,0.70443827,0.43
KOZT,11:16:55.600,11:16:56.030,0.27342165,0.44
KOZT,11:17:07.700,11:17:08.110,0.38700625,0.17
KOZT,12:02:39.200,12:02:39.465,0.49854547,0.41
KOZT,12:07:58.600,12:07:58.820,0.50289744,0.15
KOZT,12:07:58.600,12:07:58.895,0.50289744,0.21
KOZT,12:37:12.600,12:37:12.160,0.6520328,0.19
KOZT,13:59:19.400,13:59:19.655,0.68764323,0.24
KOZT,15:01:52.200,15:01:52.305,0.51983446,0.24
KOZT,15:11:11.200,15:11:11.515,0.70952046,0.29
KOZT,15:22:02.800,15:22:03.720,0.3006246,0.14
KOZT,15:44:35.900,15:44:36.600,0.3610034,0.33
KOZT,15:50:22.200,15:50:21.890,0.5373064,0.22
KOZT,15:54:38.500,15:54:38.235,0.5401904,0.36
KOZT,16:02:57.800,16:02:57.900,0.79372907,0.49
KOZT,16:07:22.000,16:07:21.915,0.5189299,0.23
KOZT,16:07:22.000,16:07:21.915,0.5189299,0.17
KOZT,16:22:13.300,16:22:13.230,0.4804051,0.24
KOZT,16:23:12.000,16:23:12.130,0.602288,0.37
KOZT,16:28:37.200,16:28:37.720,0.5575595,0.31
KOZT,16:43:53.300,16:43:54.160,0.57735217,0.24
KOZT,16:56:18.500,16:56:18.540,0.54001486,0.34
KOZT,16:56:18.500,16:56:18.745,0.54001486,0.4
KOZT,16:59:53.200,16:59:53.705,0.7354088,0.46
KOZT,16:59:53.200,16:59:53.805,0.7354088,0.33
KOZT,17:16:44.000,17:16:44.375,0.5223273,0.26
KOZT,17:55:05.600,17:55:04.795,0.6119553,0.37
KOZT,18:05:28.200,18:05:28.245,0.4619794,0.16
KOZT,18:37:50.400,18:37:49.535,0.3700717,0.54
KOZT,19:16:13.700,19:16:13.905,0.53621274,0.22
KOZT,19:19:42.600,19:19:42.040,0.6284358,0.16
KOZT,19:48:24.700,19:48:25.150,0.67946887,0.31
KOZT,19:50:08.900,19:50:08.380,0.7479898,0.22
KOZT,20:14:36.900,20:14:37.875,0.49844408,0.36
KOZT,20:58:35.400,20:58:35.990,0.7171881,0.47
KOZT,21:39:12.900,21:39:12.840,0.6424457,0.35
KOZT,21:40:02.200,21:40:01.280,0.46434405,0.13
KOZT,21:40:34.900,21:40:35.355,0.6453451,0.47
KOZT,21:41:53.800,21:41:54.200,0.79844993,0.46
KOZT,21:41:53.800,21:41:54.225,0.79844993,0.42
KOZT,21:51:42.200,21:51:42.200,0.6930714,0.41
KOZT,21:51:42.200,21:51:42.340,0.6930714,0.13
KOZT,21:58:11.300,21:58:12.105,0.5912887,0.21
KOZT,22:01:48.600,22:01:47.935,0.555181,0.27
KOZT,22:30:09.500,22:30:08.705,0.54184306,0.31
KOZT,23:17:40.400,23:17:40.055,0.61720836,0.5
KRBG,04:24:45.800,04:24:45.870,0.8148985,0.59
KULA,04:54:47.500,04:54:47.710,0.8411155,0.68
KULA,04:54:47.500,04:54:47.745,0.8411155,0.7
MAZI,22:40:58.000,22:40:58.030,0.7075733,0.38
MDUB,08:25:05.200,08:25:05.340,0.6347263,0.77
MDUB,08:32:15.800,08:32:15.760,0.82658464,0.67
MERS,08:02:37.500,08:02:37.045,0.5732346,0.32
MERS,08:02:37.500,08:02:37.150,0.5732346,0.23
MERS,08:05:25.400,08:05:25.240,0.6878673,0.24
MERS,12:03:13.700,12:03:14.630,0.63810134,0.23
MERS,18:04:56.400,18:04:56.405,0.5821933,0.23
MERS,18:04:56.400,18:04:56.600,0.5821933,0.16
MERS,21:02:55.100,21:02:55.055,0.45687082,0.3
MERS,21:27:51.200,21:27:50.315,0.36639932,0.12
MERS,21:27:51.200,21:27:50.365,0.36639932,0.2
MERS,21:35:25.800,21:35:26.005,0.7898283,0.27
MLAZ,03:19:25.100,03:19:25.445,0.43517837,0.2
MLAZ,05:12:51.200,05:12:51.400,0.28020325,0.41
RSDY,12:03:29.500,12:03:29.835,0.5075446,0.36
SARI,01:52:22.100,01:52:22.155,0.6410005,0.53
SARI,02:02:25.400,02:02:25.850,0.4948902,0.35
SARI,02:04:18.300,02:04:19.045,0.36989814,0.28
SARI,02:18:24.900,02:18:24.570,0.5297513,0.28
