station,Phasenet-EQCCT_Average_pick_time,EQTransformer_pick_time,EQTransformer_pick_score,Phasenet_score,EQCCT_score
CHOM,03:19:42.940,03:19:43.125,0.4,0.35873434,0.454
CHOM,03:19:42.940,03:19:43.125,0.4,0.35873434,0.518
CHOM,03:19:42.940,03:19:43.105,0.41,0.35873434,0.387
CHOM,03:19:42.940,03:19:43.105,0.41,0.35873434,0.2
CHOM,03:19:42.940,03:19:43.120,0.41,0.35873434,0.395
CHOM,03:19:42.940,03:19:43.125,0.41,0.35873434,0.454
CHOM,03:19:42.940,03:19:43.125,0.41,0.35873434,0.518
CHOM,03:34:18.600,03:34:18.960,0.17,0.7601453,0.121
CHOM,03:34:18.600,03:34:18.980,0.17,0.7601453,0.35
CHOM,03:34:18.600,03:34:18.990,0.17,0.7601453,0.317
CHOM,03:34:18.600,03:34:18.990,0.17,0.7601453,0.41
CHOM,03:34:18.990,03:34:18.960,0.59,0.7601453,0.121
CHOM,03:34:18.990,03:34:18.980,0.59,0.7601453,0.35
CHOM,03:34:18.990,03:34:18.990,0.59,0.7601453,0.317
CHOM,03:34:18.990,03:34:18.990,0.59,0.7601453,0.41
CHOM,09:44:52.890,09:44:52.890,0.44,0.44561923,0.605
CHOM,09:44:52.890,09:44:52.895,0.44,0.44561923,0.608
CHOM,09:44:52.890,09:44:52.905,0.44,0.44561923,0.595
CHOM,09:44:52.890,09:44:52.905,0.44,0.44561923,0.614
CHOM,09:50:02.490,09:50:02.435,0.56,0.67831165,0.68
CHOM,09:50:02.490,09:50:02.440,0.56,0.67831165,0.517
CHOM,09:50:02.490,09:50:02.440,0.56,0.67831165,0.513
CHOM,09:50:02.490,09:50:02.445,0.56,0.67831165,0.764
CORM,09:38:09.200,09:38:09.770,0.2,0.3534531,0.118
CORM,11:33:47.610,11:33:46.980,0.26,0.34692407,0.275
CORM,11:33:47.610,11:33:46.980,0.26,0.34692407,0.312
CORM,11:33:47.610,11:33:46.980,0.26,0.34692407,0.299
CORM,11:33:47.610,11:33:46.990,0.26,0.34692407,0.296
CORM,11:40:36.530,11:40:36.460,0.13,0.32027566,0.235
CORM,11:40:36.530,11:40:36.475,0.13,0.32027566,0.587
CORM,11:41:08.200,11:41:07.615,0.11,0.33280706,0.187
CORM,11:41:08.200,11:41:09.040,0.11,0.29883546,0.551
CORM,11:41:08.200,11:41:09.075,0.11,0.29883546,0.132
CORM,11:41:08.200,11:41:09.080,0.11,0.29883546,0.113
CORM,11:51:32.540,11:51:32.520,0.31,0.30318597,0.419
CORM,11:51:32.540,11:51:32.535,0.31,0.30318597,0.116
CORM,11:51:32.540,11:51:32.545,0.31,0.30318597,0.49
CORM,11:51:32.600,11:51:32.520,0.11,0.30318597,0.419
CORM,11:51:32.600,11:51:32.535,0.11,0.30318597,0.116
CORM,11:51:32.600,11:51:32.545,0.11,0.30318597,0.49
CORM,11:57:26.460,11:57:26.670,0.3,0.27918485,0.586
CORM,11:57:26.460,11:57:26.670,0.3,0.27918485,0.142
CORM,11:57:26.460,11:57:26.675,0.3,0.27918485,0.59
CORM,11:57:26.460,11:57:26.690,0.3,0.27918485,0.165
CORM,14:00:18.140,14:00:18.060,0.23,0.30560032,0.184
CORM,14:06:17.510,14:06:17.505,0.35,0.36772242,0.566
CORM,14:06:17.510,14:06:17.505,0.35,0.36772242,0.175
CORM,14:06:17.510,14:06:17.515,0.35,0.36772242,0.606
CORM,14:11:54.160,14:11:54.070,0.22,0.6834295,0.517
CORM,14:31:26.790,14:31:26.545,0.29,0.5554817,0.253
CORM,14:31:26.790,14:31:26.560,0.29,0.5554817,0.1
CORM,14:31:26.790,14:31:26.675,0.29,0.5554817,0.364
DARE,09:01:21.910,09:01:21.900,0.34,0.5160828,0.23
DARE,09:01:21.910,09:01:21.990,0.34,0.5160828,0.302
DARE,09:01:21.910,09:01:21.990,0.34,0.5160828,0.272
DARE,09:01:21.910,09:01:22.055,0.34,0.5160828,0.194
DARE,09:02:44.840,09:02:44.810,0.43,0.71249634,0.673
DARE,09:02:44.840,09:02:44.810,0.43,0.71249634,0.685
DARE,09:02:44.840,09:02:44.810,0.43,0.71249634,0.312
DARE,09:02:44.850,09:02:44.810,0.42,0.71249634,0.673
DARE,09:02:44.850,09:02:44.810,0.42,0.71249634,0.685
DARE,09:02:44.850,09:02:44.810,0.42,0.71249634,0.312
DARE,09:04:20.690,09:04:20.590,0.13,0.48130792,0.29
DARE,09:04:20.690,09:04:20.590,0.13,0.48130792,0.207
DARE,09:06:03.570,09:06:03.530,0.34,0.3571412,0.271
DARE,09:06:03.570,09:06:03.530,0.34,0.3571412,0.279
DARE,09:06:29.620,09:06:29.490,0.3,0.59518397,0.206
DARE,09:06:29.620,09:06:29.495,0.3,0.59518397,0.217
DARE,09:06:29.620,09:06:29.515,0.3,0.59518397,0.195
DARE,09:06:29.620,09:06:29.520,0.3,0.59518397,0.184
DARE,09:09:09.770,09:09:09.715,0.26,0.65469384,0.487
DARE,09:09:09.770,09:09:09.715,0.26,0.65469384,0.415
DARE,09:09:09.770,09:09:09.715,0.26,0.65469384,0.387
DARE,09:09:55.900,09:09:55.885,0.63,0.852746,0.457
DARE,09:09:55.900,09:09:55.895,0.63,0.852746,0.348
DARE,09:09:55.900,09:09:55.910,0.63,0.852746,0.605
DARE,09:09:55.900,09:09:55.910,0.63,0.852746,0.607
DARE,09:11:03.070,09:11:03.055,0.56,0.66941786,0.451
DARE,09:11:03.070,09:11:03.060,0.56,0.66941786,0.133
DARE,09:11:03.070,09:11:03.075,0.56,0.66941786,0.466
DARE,09:11:03.070,09:11:03.080,0.56,0.66941786,0.461
DARE,09:11:03.070,09:11:03.080,0.56,0.66941786,0.571
DARE,09:11:03.090,09:11:03.055,0.66,0.66941786,0.451
DARE,09:11:03.090,09:11:03.060,0.66,0.66941786,0.133
DARE,09:11:03.090,09:11:03.075,0.66,0.66941786,0.466
DARE,09:11:03.090,09:11:03.080,0.66,0.66941786,0.461
DARE,09:11:03.090,09:11:03.080,0.66,0.66941786,0.571
DARE,09:12:27.540,09:12:27.440,0.3,0.593588,0.306
DARE,09:12:27.540,09:12:27.465,0.3,0.593588,0.459
DARE,09:13:07.240,09:13:08.175,0.22,0.7898772,0.116
DARE,09:13:07.240,09:13:08.175,0.22,0.7898772,0.111
DARE,09:13:54.880,09:13:55.005,0.13,0.6713538,0.172
DARE,09:15:09.720,09:15:09.660,0.41,0.6729287,0.277
DARE,09:15:09.720,09:15:09.665,0.41,0.6729287,0.368
DARE,09:15:09.720,09:15:09.670,0.41,0.6729287,0.312
DARE,09:17:10.950,09:17:10.420,0.27,0.46007562,0.207
DARE,09:18:44.540,09:18:44.480,0.41,0.5565318,0.22
DARE,09:18:44.540,09:18:44.485,0.41,0.5565318,0.371
DARE,09:19:24.280,09:19:24.090,0.38,0.5271728,0.288
DARE,09:19:24.280,09:19:24.090,0.38,0.5271728,0.294
DARE,09:19:24.280,09:19:24.105,0.38,0.5271728,0.188
DARE,09:21:26.140,09:21:26.195,0.12,0.4428562,0.256
DARE,09:21:26.140,09:21:26.195,0.12,0.4428562,0.287
DARE,09:21:26.140,09:21:26.220,0.12,0.4428562,0.266
DARE,09:24:44.380,09:24:44.480,0.32,0.63483834,0.74
DARE,09:24:44.380,09:24:44.490,0.32,0.63483834,0.699
DARE,09:24:44.380,09:24:44.490,0.32,0.63483834,0.383
DARE,09:24:44.380,09:24:44.490,0.32,0.63483834,0.211
DARE,09:26:21.020,09:26:20.980,0.44,0.49053106,0.294
DARE,09:26:21.020,09:26:21.000,0.44,0.49053106,0.277
DARE,09:26:21.020,09:26:21.000,0.44,0.49053106,0.35
DARE,09:26:21.020,09:26:21.005,0.44,0.49053106,0.194
DARE,09:29:08.510,09:29:08.425,0.51,0.70266694,0.62
DARE,09:29:08.510,09:29:08.435,0.51,0.70266694,0.366
DARE,09:29:58.700,09:29:58.705,0.56,0.7755846,0.311
DARE,09:29:58.700,09:29:58.745,0.56,0.7755846,0.604
DARE,09:29:58.700,09:29:58.745,0.56,0.7755846,0.609
DARE,09:29:58.700,09:29:58.745,0.56,0.7755846,0.598
DARE,09:29:58.700,09:29:58.755,0.56,0.7755846,0.576
DARE,09:29:58.720,09:29:58.705,0.54,0.7755846,0.311
DARE,09:29:58.720,09:29:58.745,0.54,0.7755846,0.604
DARE,09:29:58.720,09:29:58.745,0.54,0.7755846,0.609
DARE,09:29:58.720,09:29:58.745,0.54,0.7755846,0.598
DARE,09:29:58.720,09:29:58.755,0.54,0.7755846,0.576
DARE,09:31:09.530,09:31:09.460,0.41,0.58205795,0.182
DARE,09:31:09.530,09:31:09.515,0.41,0.58205795,0.211
DARE,09:31:09.530,09:31:09.525,0.41,0.58205795,0.31
DARE,09:31:09.530,09:31:09.525,0.41,0.58205795,0.331
DARE,09:32:28.380,09:32:28.210,0.4,0.45871487,0.25
DARE,09:32:28.380,09:32:28.220,0.4,0.45871487,0.264
DARE,09:32:28.380,09:32:28.220,0.4,0.45871487,0.29
DARE,09:32:28.380,09:32:28.220,0.4,0.45871487,0.399
DARE,09:33:30.750,09:33:30.785,0.41,0.74528867,0.279
DARE,09:33:30.750,09:33:30.785,0.41,0.74528867,0.207
DARE,09:33:30.750,09:33:30.790,0.41,0.74528867,0.23
DARE,09:34:06.420,09:34:06.450,0.37,0.6274902,0.274
DARE,09:34:06.420,09:34:06.455,0.37,0.6274902,0.296
DARE,09:34:06.420,09:34:06.455,0.37,0.6274902,0.302
DARE,09:34:06.420,09:34:06.470,0.37,0.6274902,0.166
DARE,09:35:01.930,09:35:01.900,0.58,0.7631788,0.546
DARE,09:35:01.930,09:35:01.920,0.58,0.7631788,0.591
DARE,09:35:01.930,09:35:01.925,0.58,0.7631788,0.61
DARE,09:36:25.780,09:36:25.685,0.41,0.7900139,0.191
DARE,09:36:25.780,09:36:25.690,0.41,0.7900139,0.612
DARE,09:37:02.350,09:37:02.360,0.46,0.58575904,0.412
DARE,09:37:02.350,09:37:02.360,0.46,0.58575904,0.443
DARE,09:37:02.350,09:37:02.365,0.46,0.58575904,0.565
DARE,09:37:02.350,09:37:02.365,0.46,0.58575904,0.542
DARE,09:37:02.410,09:37:02.360,0.3,0.58575904,0.412
DARE,09:37:02.410,09:37:02.360,0.3,0.58575904,0.443
DARE,09:37:02.410,09:37:02.365,0.3,0.58575904,0.565
DARE,09:37:02.410,09:37:02.365,0.3,0.58575904,0.542
DARE,09:40:10.370,09:40:10.440,0.53,0.41327626,0.196
DARE,09:42:44.330,09:42:45.205,0.11,0.4931696,0.21
DARE,09:42:44.330,09:42:45.225,0.11,0.4931696,0.116
DARE,09:44:25.240,09:44:24.935,0.15,0.38870388,0.15
DARE,09:44:25.240,09:44:24.940,0.15,0.38870388,0.218
DARE,09:46:18.330,09:46:18.255,0.41,0.6511673,0.466
DARE,09:46:18.330,09:46:18.260,0.41,0.6511673,0.503
DARE,09:48:04.000,09:48:03.780,0.46,0.59824413,0.246
DARE,09:48:04.000,09:48:03.780,0.46,0.59824413,0.232
DARE,09:48:04.000,09:48:03.795,0.46,0.59824413,0.32
DARE,09:48:04.000,09:48:03.800,0.46,0.59824413,0.193
DARE,09:48:04.120,09:48:03.780,0.65,0.59824413,0.246
DARE,09:48:04.120,09:48:03.780,0.65,0.59824413,0.232
DARE,09:48:04.120,09:48:03.795,0.65,0.59824413,0.32
DARE,09:48:04.120,09:48:03.800,0.65,0.59824413,0.193
DARE,09:49:36.620,09:49:36.600,0.53,0.6467971,0.277
DARE,09:49:36.620,09:49:36.615,0.53,0.6467971,0.468
DARE,09:49:36.620,09:49:36.625,0.53,0.6467971,0.409
DARE,09:49:36.660,09:49:36.600,0.26,0.6467971,0.277
DARE,09:49:36.660,09:49:36.615,0.26,0.6467971,0.468
DARE,09:49:36.660,09:49:36.625,0.26,0.6467971,0.409
DARE,09:51:06.360,09:51:06.480,0.12,0.49629042,0.107
DARE,09:51:06.360,09:51:06.505,0.12,0.49629042,0.146
DARE,09:51:06.360,09:51:06.690,0.12,0.49629042,0.166
DARE,09:51:06.360,09:51:06.705,0.12,0.49629042,0.151
DARE,09:53:33.600,09:53:33.350,0.39,0.5492787,0.144
DARE,09:53:33.600,09:53:33.445,0.39,0.5492787,0.292
DARE,09:53:33.600,09:53:33.445,0.39,0.5492787,0.276
DARE,09:53:33.600,09:53:33.445,0.39,0.5492787,0.334
DARE,09:56:05.990,09:56:05.935,0.46,0.71375877,0.377
DARE,09:56:05.990,09:56:05.960,0.46,0.71375877,0.103
DARE,09:57:48.050,09:57:47.890,0.61,0.8444596,0.161
DARE,09:57:48.050,09:57:48.100,0.61,0.8444596,0.375
DARE,09:57:48.050,09:57:48.105,0.61,0.8444596,0.451
DARE,09:58:08.930,09:58:08.870,0.35,0.5769278,0.593
DARE,09:58:08.930,09:58:08.870,0.35,0.5769278,0.432
DARE,09:58:08.930,09:58:08.870,0.35,0.5769278,0.413
DARE,09:58:08.930,09:58:08.870,0.35,0.5769278,0.276
DARE,09:59:17.010,09:59:17.005,0.47,0.76123756,0.387
DARE,09:59:17.010,09:59:17.010,0.47,0.76123756,0.45
DARE,09:59:17.010,09:59:17.015,0.47,0.76123756,0.49
DARE,09:59:17.260,09:59:17.005,0.34,0.76123756,0.387
DARE,09:59:17.260,09:59:17.010,0.34,0.76123756,0.45
DARE,09:59:17.260,09:59:17.015,0.34,0.76123756,0.49
ERZN,09:09:28.510,09:09:28.480,0.65,0.8116927,0.23
ERZN,09:09:28.510,09:09:28.485,0.65,0.8116927,0.397
ERZN,09:09:28.510,09:09:28.485,0.65,0.8116927,0.525
ERZN,09:49:08.650,09:49:08.685,0.3,0.64482915,0.453
ERZN,09:49:08.650,09:49:08.685,0.3,0.64482915,0.457
ERZN,09:49:08.650,09:49:08.685,0.3,0.64482915,0.444
ERZN,09:49:08.650,09:49:08.685,0.3,0.64482915,0.329
GAZ ,09:00:13.520,09:00:13.575,0.41,0.34384203,0.423
GAZ ,09:00:55.270,09:00:55.230,0.41,0.33421126,0.33
GAZ ,09:00:55.270,09:00:55.230,0.41,0.33421126,0.448
GAZ ,09:00:55.270,09:00:55.280,0.41,0.33421126,0.18
GAZ ,09:02:05.200,09:02:05.000,0.27,0.36434278,0.185
GAZ ,09:02:05.200,09:02:05.000,0.27,0.36434278,0.236
GAZ ,09:02:05.200,09:02:05.005,0.27,0.36434278,0.199
GAZ ,09:02:05.200,09:02:05.005,0.27,0.36434278,0.245
GAZ ,09:03:42.970,09:03:43.115,0.36,0.6365311,0.221
GAZ ,09:03:42.970,09:03:43.145,0.36,0.6365311,0.169
GAZ ,09:03:42.970,09:03:43.145,0.36,0.6365311,0.337
GAZ ,09:03:42.970,09:03:43.145,0.36,0.6365311,0.327
GAZ ,09:03:42.970,09:03:43.145,0.36,0.6365311,0.34
GAZ ,09:04:45.590,09:04:45.610,0.22,0.5372243,0.308
GAZ ,09:04:45.590,09:04:45.620,0.22,0.5372243,0.275
GAZ ,09:04:45.590,09:04:45.620,0.22,0.5372243,0.329
GAZ ,09:04:45.590,09:04:45.635,0.22,0.5372243,0.147
GAZ ,09:05:29.000,09:05:28.715,0.37,0.5835601,0.216
GAZ ,09:05:29.000,09:05:28.730,0.37,0.5835601,0.346
GAZ ,09:05:29.000,09:05:28.730,0.37,0.5835601,0.358
